id,text
melisson5,"Del latín Signa, plural de Signum 'señal', 'signo'. En castellano, evolucionó para referirse a indicios, señales o pistas, y en este contexto, ""señas de luz"" implica una referencia lejana a una luz que actúa como guía o señal en la oscuridad."
melisson6,"De privar. Refiere a la relación de favor especial o cercanía de confianza de un príncipe o alto personaje, y, por extensión, de cualquier otra persona. "
melisson7,"""Procura que España te considere su restaurador"". Esta frase sugiere un llamado a que Don Gaspar se gane la estima de España a través de sus actos, consolidando su posición de poder mediante el servicio y la dedicación a la patria."
melisson8,"Don Gaspar debe demostrar públicamente su lealtad al servicio del rey. De esta manera, alardea de su compromiso con el bienestar y la estabilidad de España, buscando ser percibido como un servidor leal y necesario. En el conjunto del pasaje, se alude a que su lealtad y su celosa lealtad deberían convencer al monarca de que él es el restaurador adecuado para el bien común y el orden de España."
proverbiosn1,"Laudetur Jesus Christus o Laudetur Iesus Christus (en latín, ""Alabado sea Jesucristo"") es un saludo católico tradicional comúnmente utilizado por miembros de comunidades religiosas, especialmente aquellos de etnias específicas."
proverbiosn2,"""Lachrymarum valle"" es una expresión en latín que significa ""valle de lágrimas"". Es una frase simbólica que se refiere al sufrimiento y al dolor inherentes a la vida humana  en contextos religiosos."
proverbiosn3,La palabra romería se refiere tradicionalmente a una peregrinación o viaje que un grupo de personas hace a un santuario o lugar religioso para expresar su devoción o realizar una celebración.
proverbiosn4,"""No te pagnes"" podría interpretarse como ""no te dejes llevar"" o ""no confíes""."
proverbiosn5,"""Truhanes"" significa personas tramposas, pícaras o deshonestas."
proverbiosn6,"En el contexto religioso, ""Christiano / Cristiano"" se refiere a alguien que sigue las enseñanzas de Jesucristo."
proverbiosn7,"Los ""chocarreros"" son personajes o individuos conocidos por ser traviesos o ruidosos, a menudo causando alboroto."
proverbiosn8,"""ç"" (cedilla): Esta letra se pronuncia como una ""s"" suave. Es común en idiomas como el francés, portugués y catalán. Por ejemplo: En francés: ""leçon"" (lección) se pronuncia ""le-son"". En portugués: ""ação"" (acción) se pronuncia ""a-sao""."
cartas0n0,El manuscrito original fue separado y reencuadernado. En su estado actual comienza en el folio 66.
cartas0n1,El folio 66 vuelto es blanco.
cartas1n1,"Se refiere a Juan Adam de la Parra (La Parra 1596 - Logroño 1644), un escritor español y fiscal de la Inquisición."
cartas1n2,"Cada día me admiran más las nuevas y admirables Doctrinas que oigo a mis queridos hermanos, delo que me resulta el aprender muchissimo, que ignoraba"" (89R). Se refiere a los monjes del convento en el que funciona la prisión."
cartas1n3,Terminó en la cárcel por traición a la patria. Fue detenido en nombre del Rey. Quevedo dijo ser falsamente acusado y en esta carta le pidió a su amigo información para presentar en su defensa.
cartas3n1," Figura que se ha desarrollado a lo largo de la historia, junto con el orador profano, y que se caracteriza por la teatralización de sus discursos de tono ético reflexivo y humano trascendente, con una base religiosa definida."
gongora1,"Corrección realizada en el margen derecho superior de la página original; corresponde a la palabra ""en""."
gongora2,"Corrección realizada en el margen inferior de la página original; corresponde a la palabra ""espada""."
gongora3,"Corrección realizada en el margen izquierdo de la página original; corresponde a la palabra ""sostengan"". "
gongora4,Es un juego de palabras con el apellido de Don Cristobal de Mora.
gongora5,Hace referencia al símbolo que aparece en el escudo de armas de la realeza portuguesa; simbolizan lealtad y conexión con la misma.
gongora6,"Góngora se llama a sí mismo gusano a modo de alabanza para con Don Cristóbal, para logar así su protección."
gongora7,El autor se compromete a difundir la memoria de Don Cristóbal.
gongora8,"Este soneto es una alabanza al Marqués de Castel Rodrigo, donde se resalta su nobleza y lealtad, comparándolo con un árbol, como una metáfora sobre alguien que ofrece alimento, sombra y protección."
gongora9,"El autor compara al almirante con el sol, destacando la importancia y el brillo del astro con la familia Bazán."
gongora10,"Compara a Bazán con una deidad, como lo es Marte, el dios romano de la guerra."
gongora11,"El término hace referencia a las velas de los barcos capturados o tomados de los enemigos; entre ellos, Don Álvaro derrotó a los turcos, los ingleses y portugueses."
gongora12,"Góngora ensalza a Don Álvaro de Bazán como un héroe cuyas hazañas son tan grandes que resisten al paso del tiempo y al olvido, quedando en la memoria colectiva eternamente. "
baetican1,"En referencia a Granada, último reino musulmán en la Península Ibérica que se mantuvo durante doscientos cincuenta años, hasta su conquista definitiva por los Reyes Católicos en 1492."
baetican2,"Se refiere al Islam, religión de los musulmanes, considerada contraria a la fe católica."
baetican3,Se refiere a los festejos que conmemoraron la reconquista de Granada por los Reyes Católicos.
